traditional,simplified,pinyintone,pinyinnum,pinyinnone,tonenumber,MCbaxter,MCinitial,MCfinal,MCtone,MCipa,OC,gloss,GSR,HYDZD,rad,str,Unicode
蠆,虿,chài,chai4,chai,4,trhaejH,trh-,-aej,qu,ʈʰæj³,*mə-r̥ˤa[t]-s,scorpion,0326a,"42889,2",142,13,U+8806
幨,幨,chān,chan1,chan,1,tsyhem,tsyh-,-jem,ping,ʨʰem¹,*[tʰ]am,"cut out, cut loose",0619d,"10756,07",50,13,U+5E68
襜,襜,chān,chan1,chan,1,tsyhem,tsyh-,-jem,ping,ʨʰem¹,*[tʰ]am,"apron; shake, move (skirts)",0619e,"53118,08",145,13,U+895C
廛,廛,chán,chan2,chan,2,drjen,dr-,-jen,ping,ɖjen¹,*[d]ra[n],farmyard,0204a,"20902,01",53,12,U+5EDB
躔,躔,chán,chan2,chan,2,drjen,dr-,-jen,ping,ɖjen¹,*[d]ra[n],tracks; orbit (v.),0204b,"63748,06",157,15,U+8E94
纏,缠,chán,chan2,chan,2,drjen,dr-,-jen,ping,ɖjen¹,*[d]ra[n],"bind, wind",0204c,"53467,03",120,15,U+7E8F
孱,孱,chán,chan2,chan,2,dzrean,dzr-,-ean,ping,d͡ʐɛn¹,*[dz]r[a][n],timid,0208a,"21017,12",39,9,U+5B71
蟬,蝉,chán,chan2,chan,2,dzyen,dzy-,-jen,ping,ʥen¹,*[d]a[r],cicada,0147z,"42891,07",142,12,U+87EC
單,单,chán,chan2,chan,2,dzyen,dzy-,-jen,ping,ʥen¹,*dar (< *[d]ar),單于 chányú: Xiōngnú  ruler (W. Hàn),0147a,"10654,06",30,9,U+55AE
產,产,chǎn,chan3,chan,3,sreanX,sr-,-ean,shang,ʂɛn²,*s-ŋrarʔ,"bear (v.), produce",0194a,"42577,151",100,6,U+7522
諂,谄,chǎn,chan3,chan,3,trhjemX,trh-,-jem,shang,ʈʰjem²,*qʰromʔ,flatter (v.),0672l,"63990,06",149,8,U+8AC2
讇,讇,chǎn,chan3,chan,3,trhjemX,trh-,-jem,shang,ʈʰjem²,*qʰromʔ,to flatter,0672p,"64031,11",149,16,U+8B87
幨,幨,chàn,chan4,chan,4,tsyhemH,tsyh-,-jem,qu,ʨʰem³,*[tʰ]am-s,overcoat,0619d,"10756,07",50,13,U+5E68
長,长,cháng,chang2,chang,2,drjang,dr-,-jang,ping,ɖjaŋ¹,*Cə-[N]-traŋ,long (adj.),0721a,"64050,01",168,0,U+9577
場,场,cháng,chang2,chang,2,drjang,dr-,-jang,ping,ɖjaŋ¹,*[l]raŋ,arena,0720x,"10462,09",32,9,U+5834
腸,肠,cháng,chang2,chang,2,drjang,dr-,-jang,ping,ɖjaŋ¹,*lraŋ,intestines,0720y,"32095,09",130,9,U+8178
嘗,尝,cháng,chang2,chang,2,dzyang,dzy-,-jang,ping,ʥaŋ¹,*Cə.daŋ,taste (v.),0725f,"21529,09",30,11,U+5617
常,常,cháng,chang2,chang,2,dzyang,dzy-,-jang,ping,ʥaŋ¹,*[d]aŋ,constant,0725e,"10744,01",50,8,U+5E38
裳,裳,cháng,chang2,chang,2,dzyang,dzy-,-jang,ping,ʥaŋ¹,*daŋ,lower garment,0725d,"53095,11",145,8,U+88F3
惝,惝,chǎng,chang3,chang,3,tsyhangX,tsyh-,-jang,shang,ʨʰaŋ²,*tʰaŋʔ,despondent; scared,0725l,"42315,02",61,8,U+60DD
敞,敞,chǎng,chang3,chang,3,tsyhangX,tsyh-,-jang,shang,ʨʰaŋ²,*tʰaŋʔ,"open, spacious",0725m,"21467,03",66,8,U+655E
鬯,鬯,chàng,chang4,chang,4,trhjangH,trh-,-jang,qu,ʈʰjaŋ³,*tʰraŋ-s,aromatic spirits,0719a,"10263,01",192,0,U+9B2F
悵,怅,chàng,chang4,chang,4,trhjangH,trh-,-jang,qu,ʈʰjaŋ³,*tʰraŋ-s,disappointed,0721l,"42313,03",61,8,U+60B5
倡,倡,chàng,chang4,chang,4,tsyhangH,tsyh-,-jang,qu,ʨʰaŋ³,*mə-tʰaŋ-s,to lead (in singing),0724c,"10177,05",9,8,U+5021
唱,唱,chàng,chang4,chang,4,tsyhangH,tsyh-,-jang,qu,ʨʰaŋ³,*mə-tʰaŋ-s,to lead (in singing),0724d,"10640,08",30,8,U+5531
超,超,chāo,chao1,chao,1,trhjew,trh-,-jew,ping,ʈʰjew¹,*tʰr[a]w,"leap over, surpass",1131j,"53484,07",156,5,U+8D85
潮,潮,cháo,chao2,chao,2,drjew,dr-,-jew,ping,ɖjew¹,*[N]-t<r>aw,morning tide,1143d,"31737,05",85,12,U+6F6E
朝,朝,cháo,chao2,chao,2,drjew,dr-,-jew,ping,ɖjew¹,*m-t<r>aw,(morning) audience at court,1143a,"32084,08",74,8,U+671D
巢,巢,cháo,chao2,chao,2,dzraew,dzr-,-aew,ping,d͡ʐæw¹,*[dz]ˤraw,nest,1169a,"21098,09",47,8,U+5DE2
炒,炒,chǎo,chao3,chao,3,tsrhaewX,tsrh-,-aew,shang,ʦʰæw²,*[tsʰ](ˤ)r[e]wʔ,to stir-fry,1149-,"32191,15",86,4,U+7092
車,车,chē,che1,che,1,tsyhae,tsyh-,-jae,ping,ʨʰæ¹,*[t.qʰ](r)A,chariot,0074a,"53511,01",159,0,U+8ECA
澈,澈,chè,che4,che,4,drjet,dr-,-jet,ru,ɖjet⁴,*[d]ret,"clear, limpid",0286d,"31747,04",85,12,U+6F88
徹,彻,chè,che4,che,4,drjet,dr-,-jet,ru,ɖjet⁴,*m-[tʰ]ret,penetrate,0286c,"20844,07",60,12,U+5FB9
撤,撤,chè,che4,che,4,drjet,dr-,-jet,ru,ɖjet⁴,*m-tʰret,"remove, take away",0286b,"31962,03",64,12,U+64A4
徹,彻,chè,che4,che,4,drjet,dr-,-jet,ru,ɖjet⁴,*m-tʰret,divide land acc. to a certain share system,0286c,"20844,07",60,12,U+5FB9
坼,坼,chè,che4,che,4,trhaek,trh-,-aek,ru,ʈʰæk⁴,*Nə-qʰˤ<r>ak (W dialect: *qʰˤr- > *r̥ˤ- > trh-),split (v.i.),0792d,"10433,02",32,5,U+577C
撤,撤,chè,che4,che,4,trhjet,trh-,-jet,ru,ʈʰjet⁴,*tʰret,"remove, take away",0286b,"31962,03",64,12,U+64A4
徹,彻,chè,che4,che,4,trhjet,trh-,-jet,ru,ʈʰjet⁴,*tʰret,divide land acc. to a certain share system,0286c,"20844,07",60,12,U+5FB9
